OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2252348k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:CompileThreshold=20000 -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T10:54:36.993+0800: 71.230: [GC (Allocation Failure) [PSYoungGen: 511424K->29888K(593408K)] 560187K->78659K(700928K), 0.0435743 secs] [Times: user=0.06 sys=0.03, real=0.05 secs] 
2024-07-05T10:54:38.437+0800: 72.674: [GC (Allocation Failure) [PSYoungGen: 579776K->22016K(595968K)] 628547K->70787K(703488K), 0.0352168 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-05T10:54:39.817+0800: 74.054: [GC (Allocation Failure) [PSYoungGen: 571904K->30944K(667648K)] 620675K->79723K(775168K), 0.0400161 secs] [Times: user=0.07 sys=0.02, real=0.04 secs] 
2024-07-05T10:54:41.379+0800: 75.616: [GC (Allocation Failure) [PSYoungGen: 656096K->19303K(669696K)] 704875K->68082K(777216K), 0.0307579 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T10:54:42.912+0800: 77.148: [GC (Allocation Failure) [PSYoungGen: 644455K->35440K(726016K)] 693234K->84219K(833536K), 0.0523282 secs] [Times: user=0.08 sys=0.02, real=0.06 secs] 
2024-07-05T10:54:44.657+0800: 78.894: [GC (Allocation Failure) [PSYoungGen: 717936K->25260K(728576K)] 766715K->74039K(836096K), 0.0540838 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
2024-07-05T10:54:46.153+0800: 80.390: [GC (Allocation Failure) [PSYoungGen: 707756K->33968K(791552K)] 756535K->82747K(899072K), 0.0480254 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T10:54:47.693+0800: 81.930: [GC (Allocation Failure) [PSYoungGen: 781488K->24448K(793088K)] 830267K->73227K(900608K), 0.0415018 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:54:49.211+0800: 83.448: [GC (Allocation Failure) [PSYoungGen: 771968K->25632K(856064K)] 820747K->77423K(963584K), 0.0400183 secs] [Times: user=0.07 sys=0.02, real=0.04 secs] 
2024-07-05T10:54:50.808+0800: 85.045: [GC (Allocation Failure) [PSYoungGen: 843296K->22784K(859648K)] 895087K->74583K(967168K), 0.0421136 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T10:54:52.376+0800: 86.613: [GC (Allocation Failure) [PSYoungGen: 840448K->21547K(923648K)] 892247K->73354K(1031168K), 0.0311954 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-05T10:54:54.243+0800: 88.480: [GC (Allocation Failure) [PSYoungGen: 910379K->17554K(928768K)] 962186K->69369K(1036288K), 0.0399318 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:54:55.744+0800: 89.981: [GC (Allocation Failure) [PSYoungGen: 906386K->21056K(983040K)] 958201K->72879K(1090560K), 0.0272936 secs] [Times: user=0.04 sys=0.02, real=0.02 secs] 
2024-07-05T10:54:57.219+0800: 91.455: [GC (Allocation Failure) [PSYoungGen: 969280K->29152K(987136K)] 1021103K->80983K(1094656K), 0.0342245 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
2024-07-05T10:54:58.878+0800: 93.115: [GC (Allocation Failure) [PSYoungGen: 977376K->25216K(1007104K)] 1029207K->77055K(1114624K), 0.0358757 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T10:55:00.510+0800: 94.747: [GC (Allocation Failure) [PSYoungGen: 995456K->21424K(1008128K)] 1047295K->73271K(1115648K), 0.0328073 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2024-07-05T10:55:02.107+0800: 96.344: [GC (Allocation Failure) [PSYoungGen: 991664K->20768K(1008128K)] 1043511K->72623K(1115648K), 0.0211280 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:03.513+0800: 97.750: [GC (Allocation Failure) [PSYoungGen: 994080K->10358K(1009664K)] 1045935K->62221K(1117184K), 0.0082638 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T10:55:05.004+0800: 99.241: [GC (Allocation Failure) [PSYoungGen: 983670K->24816K(1011712K)] 1035533K->76687K(1119232K), 0.0229891 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:06.422+0800: 100.659: [GC (Allocation Failure) [PSYoungGen: 999152K->22256K(996864K)] 1051023K->74135K(1104384K), 0.0234597 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:07.870+0800: 102.107: [GC (Allocation Failure) [PSYoungGen: 996592K->28640K(1009664K)] 1048471K->80535K(1117184K), 0.0303590 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-05T10:55:09.387+0800: 103.624: [GC (Allocation Failure) [PSYoungGen: 1002464K->29296K(1010176K)] 1054359K->81199K(1117696K), 0.0295503 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:10.850+0800: 105.087: [GC (Allocation Failure) [PSYoungGen: 1003120K->22640K(1011200K)] 1055023K->74551K(1118720K), 0.0246367 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:12.219+0800: 106.455: [GC (Allocation Failure) [PSYoungGen: 997488K->27840K(1011200K)] 1049399K->79759K(1118720K), 0.0268684 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:13.697+0800: 107.934: [GC (Allocation Failure) [PSYoungGen: 1002688K->10368K(1009664K)] 1054607K->62295K(1117184K), 0.0115254 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T10:55:15.011+0800: 109.248: [GC (Allocation Failure) [PSYoungGen: 983168K->22331K(995328K)] 1035095K->74266K(1102848K), 0.0204872 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:16.421+0800: 110.658: [GC (Allocation Failure) [PSYoungGen: 995131K->28320K(1009664K)] 1047066K->80263K(1117184K), 0.0270828 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:17.915+0800: 112.152: [GC (Allocation Failure) [PSYoungGen: 1001632K->16528K(1010176K)] 1053575K->68479K(1117696K), 0.0303518 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:19.377+0800: 113.614: [GC (Allocation Failure) [PSYoungGen: 989840K->23536K(1009664K)] 1041791K->75495K(1117184K), 0.0263648 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:21.029+0800: 115.266: [GC (Allocation Failure) [PSYoungGen: 998384K->20361K(1010688K)] 1050343K->72328K(1118208K), 0.0360214 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T10:55:22.553+0800: 116.790: [GC (Allocation Failure) [PSYoungGen: 995209K->28416K(1011712K)] 1047176K->80391K(1119232K), 0.0260758 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:23.981+0800: 118.218: [GC (Allocation Failure) [PSYoungGen: 1005312K->24160K(1012736K)] 1057287K->76143K(1120256K), 0.0250456 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:25.403+0800: 119.639: [GC (Allocation Failure) [PSYoungGen: 1001056K->5480K(1010176K)] 1053039K->57471K(1117696K), 0.0045489 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2024-07-05T10:55:26.739+0800: 120.976: [GC (Allocation Failure) [PSYoungGen: 980328K->33856K(1009152K)] 1032319K->85863K(1116672K), 0.0304204 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:28.249+0800: 122.486: [GC (Allocation Failure) [PSYoungGen: 1008704K->24352K(1009664K)] 1060711K->76367K(1117184K), 0.0255842 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:29.721+0800: 123.958: [GC (Allocation Failure) [PSYoungGen: 994592K->17312K(987648K)] 1046607K->69335K(1095168K), 0.0166974 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T10:55:31.102+0800: 125.339: [GC (Allocation Failure) [PSYoungGen: 987552K->26091K(1009152K)] 1039575K->78122K(1116672K), 0.0241976 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:32.546+0800: 126.783: [GC (Allocation Failure) [PSYoungGen: 996843K->26400K(1008640K)] 1048874K->78439K(1116160K), 0.0261312 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:33.951+0800: 128.188: [GC (Allocation Failure) [PSYoungGen: 997152K->16343K(1010176K)] 1049191K->68390K(1117696K), 0.0165595 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:35.305+0800: 129.542: [GC (Allocation Failure) [PSYoungGen: 988631K->20832K(993280K)] 1040678K->72887K(1100800K), 0.0212910 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:36.667+0800: 130.904: [GC (Allocation Failure) [PSYoungGen: 993120K->28080K(1008128K)] 1045175K->80143K(1115648K), 0.0282771 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:38.176+0800: 132.412: [GC (Allocation Failure) [PSYoungGen: 999856K->24912K(1009152K)] 1051919K->76983K(1116672K), 0.0225799 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:39.603+0800: 133.840: [GC (Allocation Failure) [PSYoungGen: 996688K->22624K(1009152K)] 1048759K->74711K(1116672K), 0.0228150 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:41.069+0800: 135.306: [GC (Allocation Failure) [PSYoungGen: 997472K->19712K(1010176K)] 1049559K->71807K(1117696K), 0.0179684 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:42.442+0800: 136.679: [GC (Allocation Failure) [PSYoungGen: 994560K->20288K(1010688K)] 1046655K->72391K(1118208K), 0.0192273 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:43.837+0800: 138.073: [GC (Allocation Failure) [PSYoungGen: 998720K->24064K(1012224K)] 1050823K->76175K(1119744K), 0.0252273 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:45.296+0800: 139.533: [GC (Allocation Failure) [PSYoungGen: 1002496K->17266K(1014272K)] 1054607K->69385K(1121792K), 0.0176969 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:46.699+0800: 140.936: [GC (Allocation Failure) [PSYoungGen: 998770K->26512K(1014784K)] 1050889K->78639K(1122304K), 0.0232287 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:48.173+0800: 142.410: [GC (Allocation Failure) [PSYoungGen: 1008016K->20112K(1014784K)] 1060143K->72255K(1122304K), 0.0206813 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:49.557+0800: 143.794: [GC (Allocation Failure) [PSYoungGen: 1001616K->26208K(1014784K)] 1053759K->78359K(1122304K), 0.0276413 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:50.930+0800: 145.167: [GC (Allocation Failure) [PSYoungGen: 1007712K->22672K(1013248K)] 1059863K->74831K(1120768K), 0.0204538 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:52.376+0800: 146.613: [GC (Allocation Failure) [PSYoungGen: 1004688K->17984K(1014272K)] 1056847K->70151K(1121792K), 0.0160668 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T10:55:53.776+0800: 148.013: [GC (Allocation Failure) [PSYoungGen: 1000000K->22000K(1014272K)] 1052167K->74175K(1121792K), 0.0344918 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-05T10:55:55.141+0800: 149.378: [GC (Allocation Failure) [PSYoungGen: 1006064K->27200K(1015296K)] 1058239K->79383K(1122816K), 0.0281149 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:56.592+0800: 150.829: [GC (Allocation Failure) [PSYoungGen: 1011264K->19131K(1016832K)] 1063447K->71322K(1124352K), 0.0178996 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:57.962+0800: 152.199: [GC (Allocation Failure) [PSYoungGen: 1003707K->20982K(1005568K)] 1055898K->73181K(1113088K), 0.0199479 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:55:59.398+0800: 153.635: [GC (Allocation Failure) [PSYoungGen: 1005558K->23312K(1016320K)] 1057757K->75519K(1123840K), 0.0234931 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:56:00.813+0800: 155.050: [GC (Allocation Failure) [PSYoungGen: 1008400K->20001K(1015808K)] 1060607K->72216K(1123328K), 0.0178214 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T10:56:02.189+0800: 156.426: [GC (Allocation Failure) [PSYoungGen: 1005089K->30192K(1012224K)] 1057304K->83843K(1119744K), 0.0354205 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:03.680+0800: 157.917: [GC (Allocation Failure) [PSYoungGen: 1012208K->25232K(1015296K)] 1065859K->78891K(1122816K), 0.0273639 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T10:56:05.162+0800: 159.399: [GC (Allocation Failure) [PSYoungGen: 1007248K->31504K(1011712K)] 1060907K->85163K(1119232K), 0.0339896 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T10:56:06.601+0800: 160.838: [GC (Allocation Failure) [PSYoungGen: 1010448K->19897K(1013760K)] 1064107K->73565K(1121280K), 0.0185018 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:56:07.972+0800: 162.209: [GC (Allocation Failure) [PSYoungGen: 998841K->34800K(1003520K)] 1052509K->94100K(1111040K), 0.0408670 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:09.410+0800: 163.647: [GC (Allocation Failure) [PSYoungGen: 1003504K->39920K(1008640K)] 1062804K->107121K(1116160K), 0.0650465 secs] [Times: user=0.11 sys=0.01, real=0.07 secs] 
2024-07-05T10:56:10.826+0800: 165.063: [GC (Allocation Failure) [PSYoungGen: 1008624K->39904K(987136K)] 1075825K->110232K(1094656K), 0.0502570 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:12.197+0800: 166.434: [GC (Allocation Failure) [PSYoungGen: 987104K->50682K(997888K)] 1057432K->127681K(1105408K), 0.0639481 secs] [Times: user=0.12 sys=0.00, real=0.07 secs] 
2024-07-05T10:56:13.533+0800: 167.770: [GC (Allocation Failure) [PSYoungGen: 997882K->50672K(952832K)] 1074881K->154459K(1060352K), 0.1142883 secs] [Times: user=0.20 sys=0.01, real=0.11 secs] 
2024-07-05T10:56:13.648+0800: 167.884: [Full GC (Ergonomics) [PSYoungGen: 50672K->0K(952832K)] [ParOldGen: 103786K->55805K(116736K)] 154459K->55805K(1069568K), [Metaspace: 12245K->12245K(1060864K)], 0.1678597 secs] [Times: user=0.32 sys=0.00, real=0.17 secs] 
2024-07-05T10:56:15.104+0800: 169.341: [GC (Allocation Failure) [PSYoungGen: 902144K->43984K(975360K)] 957949K->99789K(1092096K), 0.0541087 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:16.430+0800: 170.666: [GC (Allocation Failure) [PSYoungGen: 946128K->38336K(968192K)] 1001933K->94141K(1084928K), 0.0428329 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:17.730+0800: 171.967: [GC (Allocation Failure) [PSYoungGen: 941504K->37115K(972288K)] 997309K->92920K(1089024K), 0.0432787 secs] [Times: user=0.07 sys=0.01, real=0.05 secs] 
2024-07-05T10:56:19.058+0800: 173.295: [GC (Allocation Failure) [PSYoungGen: 940283K->38000K(973312K)] 996088K->93805K(1090048K), 0.0421568 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:20.359+0800: 174.596: [GC (Allocation Failure) [PSYoungGen: 951408K->38832K(976896K)] 1007213K->94637K(1093632K), 0.0439256 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:21.713+0800: 175.950: [GC (Allocation Failure) [PSYoungGen: 952240K->37568K(978432K)] 1008045K->93373K(1095168K), 0.0419959 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:23.057+0800: 177.294: [GC (Allocation Failure) [PSYoungGen: 961216K->41616K(982528K)] 1017021K->97421K(1099264K), 0.0500412 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:24.443+0800: 178.680: [GC (Allocation Failure) [PSYoungGen: 965264K->38291K(985088K)] 1021069K->94097K(1101824K), 0.0433320 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:25.818+0800: 180.055: [GC (Allocation Failure) [PSYoungGen: 969619K->48777K(987648K)] 1025425K->104583K(1104384K), 0.0497377 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:27.173+0800: 181.410: [GC (Allocation Failure) [PSYoungGen: 980105K->57904K(980480K)] 1035911K->113709K(1097216K), 0.0770407 secs] [Times: user=0.12 sys=0.00, real=0.07 secs] 
2024-07-05T10:56:28.597+0800: 182.834: [GC (Allocation Failure) [PSYoungGen: 979504K->55216K(976896K)] 1035309K->111021K(1093632K), 0.0607048 secs] [Times: user=0.12 sys=0.01, real=0.06 secs] 
2024-07-05T10:56:29.989+0800: 184.226: [GC (Allocation Failure) [PSYoungGen: 976816K->51056K(979968K)] 1032621K->106861K(1096704K), 0.0581519 secs] [Times: user=0.12 sys=0.00, real=0.06 secs] 
2024-07-05T10:56:31.373+0800: 185.610: [GC (Allocation Failure) [PSYoungGen: 964464K->49392K(980992K)] 1020269K->105197K(1097728K), 0.0554182 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:32.733+0800: 186.970: [GC (Allocation Failure) [PSYoungGen: 962800K->47120K(977920K)] 1018605K->102925K(1094656K), 0.0543118 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:34.134+0800: 188.371: [GC (Allocation Failure) [PSYoungGen: 960528K->45600K(979456K)] 1016333K->101405K(1096192K), 0.0582226 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:35.502+0800: 189.739: [GC (Allocation Failure) [PSYoungGen: 959008K->28208K(981504K)] 1014813K->98365K(1098240K), 0.0556685 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
2024-07-05T10:56:36.886+0800: 191.123: [GC (Allocation Failure) [PSYoungGen: 945200K->27499K(982528K)] 1015357K->97665K(1099264K), 0.0271568 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T10:56:38.212+0800: 192.449: [GC (Allocation Failure) [PSYoungGen: 944491K->38000K(979968K)] 1014657K->108173K(1096704K), 0.0371650 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:39.577+0800: 193.814: [GC (Allocation Failure) [PSYoungGen: 955504K->37824K(981504K)] 1025677K->108005K(1098240K), 0.0388569 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:40.952+0800: 195.189: [GC (Allocation Failure) [PSYoungGen: 955328K->35712K(983040K)] 1025509K->105901K(1099776K), 0.0375117 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T10:56:42.282+0800: 196.519: [GC (Allocation Failure) [PSYoungGen: 958336K->36448K(983552K)] 1028525K->106645K(1100288K), 0.0322138 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T10:56:43.665+0800: 197.902: [GC (Allocation Failure) [PSYoungGen: 959072K->31184K(987136K)] 1029269K->101389K(1103872K), 0.0277828 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-05T10:56:45.062+0800: 199.299: [GC (Allocation Failure) [PSYoungGen: 958928K->10935K(986624K)] 1029133K->92152K(1103360K), 0.0232149 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:56:46.397+0800: 200.633: [GC (Allocation Failure) [PSYoungGen: 938679K->25616K(987648K)] 1019896K->106841K(1104384K), 0.0262446 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
