OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2227420k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-04T22:40:15.682+0800: 74.996: [GC (Allocation Failure) [PSYoungGen: 613152K->21456K(622080K)] 676860K->85164K(714752K), 0.0303037 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-04T22:40:17.152+0800: 76.466: [GC (Allocation Failure) [PSYoungGen: 606160K->23168K(704000K)] 669868K->86884K(796672K), 0.0378906 secs] [Times: user=0.06 sys=0.02, real=0.04 secs] 
2024-07-04T22:40:18.820+0800: 78.134: [GC (Allocation Failure) [PSYoungGen: 692864K->24320K(705536K)] 756580K->88036K(798208K), 0.0315427 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-04T22:40:20.445+0800: 79.760: [GC (Allocation Failure) [PSYoungGen: 694016K->15332K(759808K)] 757732K->79048K(852480K), 0.0168101 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:40:22.290+0800: 81.604: [GC (Allocation Failure) [PSYoungGen: 747492K->23216K(767488K)] 811208K->86932K(860160K), 0.0337348 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-04T22:40:24.007+0800: 83.321: [GC (Allocation Failure) [PSYoungGen: 755376K->25488K(833024K)] 819092K->89204K(925696K), 0.0635093 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
2024-07-04T22:40:25.903+0800: 85.217: [GC (Allocation Failure) [PSYoungGen: 823696K->23248K(833536K)] 887412K->86964K(926208K), 0.0321345 secs] [Times: user=0.05 sys=0.01, real=0.04 secs] 
2024-07-04T22:40:27.547+0800: 86.861: [GC (Allocation Failure) [PSYoungGen: 821456K->20713K(897024K)] 885172K->84430K(989696K), 0.0233779 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:40:29.240+0800: 88.554: [GC (Allocation Failure) [PSYoungGen: 891113K->27280K(903680K)] 954830K->90996K(996352K), 0.0405769 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-04T22:40:30.961+0800: 90.275: [GC (Allocation Failure) [PSYoungGen: 897680K->22752K(981504K)] 961396K->86476K(1074176K), 0.0343718 secs] [Times: user=0.05 sys=0.02, real=0.04 secs] 
2024-07-04T22:40:32.924+0800: 92.239: [GC (Allocation Failure) [PSYoungGen: 973024K->20800K(983552K)] 1036748K->84532K(1076224K), 0.0276654 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
