OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2040184k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T13:03:53.736+0800: 73.466: [GC (Allocation Failure) [PSYoungGen: 604864K->19536K(620032K)] 650818K->65490K(701952K), 0.0285735 secs] [Times: user=0.04 sys=0.02, real=0.03 secs] 
2024-07-05T13:03:55.467+0800: 75.196: [GC (Allocation Failure) [PSYoungGen: 605776K->18736K(695296K)] 651730K->64698K(777216K), 0.0333704 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:03:57.229+0800: 76.959: [GC (Allocation Failure) [PSYoungGen: 685872K->20064K(699392K)] 731834K->66026K(781312K), 0.0352493 secs] [Times: user=0.05 sys=0.01, real=0.04 secs] 
2024-07-05T13:03:58.975+0800: 78.705: [GC (Allocation Failure) [PSYoungGen: 687200K->22080K(765952K)] 733162K->68042K(847872K), 0.0607910 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
2024-07-05T13:04:00.809+0800: 80.539: [GC (Allocation Failure) [PSYoungGen: 756288K->16902K(765952K)] 802250K->62864K(847872K), 0.0222009 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:04:02.456+0800: 82.186: [GC (Allocation Failure) [PSYoungGen: 751110K->16560K(827392K)] 797072K->62522K(909312K), 0.0245681 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2024-07-05T13:04:04.331+0800: 84.060: [GC (Allocation Failure) [PSYoungGen: 819376K->23184K(832512K)] 865338K->69146K(914432K), 0.0348985 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T13:04:06.063+0800: 85.793: [GC (Allocation Failure) [PSYoungGen: 826000K->15389K(892928K)] 871962K->61351K(974848K), 0.0193148 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2024-07-05T13:04:07.735+0800: 87.464: [GC (Allocation Failure) [PSYoungGen: 885789K->26304K(900096K)] 931751K->72266K(982016K), 0.0471233 secs] [Times: user=0.07 sys=0.01, real=0.05 secs] 
2024-07-05T13:04:09.635+0800: 89.365: [GC (Allocation Failure) [PSYoungGen: 896704K->9101K(964096K)] 942666K->55071K(1046016K), 0.0125222 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2024-07-05T13:04:11.342+0800: 91.072: [GC (Allocation Failure) [PSYoungGen: 950157K->25840K(973312K)] 996127K->71818K(1055232K), 0.0526289 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
2024-07-05T13:04:13.074+0800: 92.804: [GC (Allocation Failure) [PSYoungGen: 966896K->13502K(1015296K)] 1012874K->59481K(1097216K), 0.0194363 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2024-07-05T13:04:14.700+0800: 94.430: [GC (Allocation Failure) [PSYoungGen: 995006K->23456K(1014784K)] 1040985K->69434K(1096704K), 0.0277519 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T13:04:16.281+0800: 96.011: [GC (Allocation Failure) [PSYoungGen: 1004960K->13936K(1013760K)] 1050938K->59922K(1095680K), 0.0143050 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:04:17.853+0800: 97.583: [GC (Allocation Failure) [PSYoungGen: 995440K->14754K(1014272K)] 1041426K->60748K(1096192K), 0.0168447 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T13:04:19.473+0800: 99.203: [GC (Allocation Failure) [PSYoungGen: 996258K->21760K(1015808K)] 1042252K->67762K(1097728K), 0.0295165 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:04:21.067+0800: 100.797: [GC (Allocation Failure) [PSYoungGen: 1005312K->16617K(1000448K)] 1051314K->62635K(1082368K), 0.0210155 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:04:22.762+0800: 102.492: [GC (Allocation Failure) [PSYoungGen: 1000169K->17657K(1016832K)] 1046187K->63683K(1098752K), 0.0176917 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:04:24.221+0800: 103.951: [GC (Allocation Failure) [PSYoungGen: 1003257K->28064K(1015296K)] 1049283K->74098K(1097216K), 0.0301758 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2024-07-05T13:04:25.813+0800: 105.543: [GC (Allocation Failure) [PSYoungGen: 1013664K->22080K(1016320K)] 1059698K->68122K(1098240K), 0.0251713 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T13:04:27.257+0800: 106.986: [GC (Allocation Failure) [PSYoungGen: 1006144K->18432K(1003008K)] 1052186K->64482K(1084928K), 0.0172694 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T13:04:28.717+0800: 108.446: [GC (Allocation Failure) [PSYoungGen: 1002496K->31200K(1010176K)] 1048546K->78578K(1092096K), 0.0400719 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T13:04:30.276+0800: 110.006: [GC (Allocation Failure) [PSYoungGen: 1010144K->34800K(1013760K)] 1057522K->82186K(1095680K), 0.0376368 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T13:04:31.879+0800: 111.609: [GC (Allocation Failure) [PSYoungGen: 1013744K->34800K(997376K)] 1061130K->86056K(1079296K), 0.0442060 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2024-07-05T13:04:33.348+0800: 113.078: [GC (Allocation Failure) [PSYoungGen: 997360K->43001K(1005568K)] 1048616K->97313K(1087488K), 0.0476005 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T13:04:34.815+0800: 114.545: [GC (Allocation Failure) [PSYoungGen: 1005561K->42976K(976896K)] 1059873K->107760K(1058816K), 0.0627480 secs] [Times: user=0.12 sys=0.00, real=0.06 secs] 
2024-07-05T13:04:36.309+0800: 116.039: [GC (Allocation Failure) [PSYoungGen: 976864K->53280K(987648K)] 1041648K->118064K(1069568K), 0.0627286 secs] [Times: user=0.12 sys=0.00, real=0.06 secs] 
2024-07-05T13:04:37.820+0800: 117.549: [GC (Allocation Failure) [PSYoungGen: 987168K->60912K(964096K)] 1051952K->129507K(1046016K), 0.0708271 secs] [Times: user=0.14 sys=0.00, real=0.07 secs] 
2024-07-05T13:04:39.305+0800: 119.035: [GC (Allocation Failure) [PSYoungGen: 964080K->68048K(971264K)] 1032675K->136652K(1053184K), 0.0721320 secs] [Times: user=0.13 sys=0.01, real=0.07 secs] 
2024-07-05T13:04:40.717+0800: 120.447: [GC (Allocation Failure) [PSYoungGen: 971216K->62384K(953856K)] 1039820K->130987K(1035776K), 0.0767577 secs] [Times: user=0.14 sys=0.00, real=0.08 secs] 
2024-07-05T13:04:42.153+0800: 121.883: [GC (Allocation Failure) [PSYoungGen: 938928K->68128K(945152K)] 1007531K->136731K(1027072K), 0.0829389 secs] [Times: user=0.16 sys=0.00, real=0.08 secs] 
2024-07-05T13:04:43.595+0800: 123.325: [GC (Allocation Failure) [PSYoungGen: 944672K->71056K(946176K)] 1013275K->139659K(1028096K), 0.0853094 secs] [Times: user=0.16 sys=0.01, real=0.08 secs] 
2024-07-05T13:04:45.002+0800: 124.732: [GC (Allocation Failure) [PSYoungGen: 925072K->67280K(921600K)] 993675K->146012K(1003520K), 0.0937204 secs] [Times: user=0.18 sys=0.01, real=0.09 secs] 
2024-07-05T13:04:45.096+0800: 124.826: [Full GC (Ergonomics) [PSYoungGen: 67280K->0K(921600K)] [ParOldGen: 78731K->57685K(103936K)] 146012K->57685K(1025536K), [Metaspace: 12243K->12243K(1060864K)], 0.2013589 secs] [Times: user=0.37 sys=0.01, real=0.20 secs] 
2024-07-05T13:04:46.620+0800: 126.350: [GC (Allocation Failure) [PSYoungGen: 854016K->34593K(951296K)] 911701K->92279K(1055232K), 0.0423756 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T13:04:48.000+0800: 127.730: [GC (Allocation Failure) [PSYoungGen: 885537K->35920K(887296K)] 943223K->93605K(991232K), 0.0455419 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T13:04:49.358+0800: 129.088: [GC (Allocation Failure) [PSYoungGen: 886864K->19937K(945664K)] 944549K->77622K(1049600K), 0.0277021 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:04:50.669+0800: 130.399: [GC (Allocation Failure) [PSYoungGen: 871393K->34880K(945152K)] 929078K->92565K(1049088K), 0.0588795 secs] [Times: user=0.12 sys=0.00, real=0.06 secs] 
2024-07-05T13:04:52.109+0800: 131.839: [GC (Allocation Failure) [PSYoungGen: 886336K->24160K(952832K)] 944021K->81845K(1056768K), 0.0368002 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T13:04:53.435+0800: 133.165: [GC (Allocation Failure) [PSYoungGen: 886880K->29808K(950784K)] 944565K->87493K(1054720K), 0.0362342 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T13:04:54.719+0800: 134.449: [GC (Allocation Failure) [PSYoungGen: 892528K->36064K(956416K)] 950213K->93749K(1060352K), 0.0412385 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T13:04:56.035+0800: 135.765: [GC (Allocation Failure) [PSYoungGen: 910560K->31792K(955904K)] 968245K->97205K(1059840K), 0.0460077 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T13:04:57.388+0800: 137.117: [GC (Allocation Failure) [PSYoungGen: 906288K->27600K(965120K)] 971701K->93021K(1069056K), 0.0248134 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:04:58.742+0800: 138.472: [GC (Allocation Failure) [PSYoungGen: 914896K->15741K(963584K)] 980317K->81163K(1067520K), 0.0157927 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:00.053+0800: 139.783: [GC (Allocation Failure) [PSYoungGen: 903037K->22992K(970240K)] 968459K->88413K(1074176K), 0.0263873 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2024-07-05T13:05:01.375+0800: 141.105: [GC (Allocation Failure) [PSYoungGen: 919504K->24736K(970240K)] 984925K->90165K(1074176K), 0.0275251 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:02.737+0800: 142.467: [GC (Allocation Failure) [PSYoungGen: 921248K->23344K(971776K)] 986677K->88773K(1075712K), 0.0226110 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:04.010+0800: 143.740: [GC (Allocation Failure) [PSYoungGen: 926512K->20400K(972288K)] 991941K->85829K(1076224K), 0.0189979 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2024-07-05T13:05:05.316+0800: 145.046: [GC (Allocation Failure) [PSYoungGen: 923568K->25008K(975360K)] 988997K->90437K(1079296K), 0.0276825 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:06.653+0800: 146.383: [GC (Allocation Failure) [PSYoungGen: 936880K->23264K(976896K)] 1002309K->88693K(1080832K), 0.0256067 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:07.952+0800: 147.682: [GC (Allocation Failure) [PSYoungGen: 935136K->21584K(981504K)] 1000565K->87013K(1085440K), 0.0252306 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T13:05:09.304+0800: 149.034: [GC (Allocation Failure) [PSYoungGen: 942672K->18624K(982016K)] 1008101K->84061K(1085952K), 0.0212804 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
